blocker_category,count,space_id
infrastructure,1,ca60d8a5622a4dc492684129fc330db6
infrastructure,1,cbdc87a1068b4918962bfed6eefe1931
infrastructure,1,cd4326c8a1bf454c8d4b21a8b7c40ca4
infrastructure,1,cf29e5a32fcf45edb07d4224bf59ae10
infrastructure,1,d2d39509f41f40a2a817d73421334463
infrastructure,1,d45abcb4715f4949a943f3e4d46551a7
infrastructure,1,d66fe01ca1c34f39a41d4927080e7679
infrastructure,1,d8d8f51fb1fc4974881ce41c5d9ca46a
infrastructure,1,da148a046e7e4f12b573d7a6e12cdd58
infrastructure,1,db50e765d2744bd58436bed01a232204
infrastructure,1,e07ac921cd82443288b844d79a8fbaa3
infrastructure,1,e088d0dbdf3e400f8c0c62bbd82b1f43
infrastructure,1,e542a245f3614c958b8147fe0ef6df2c
infrastructure,1,e92d4dcbab6a43a1b9ef7a9665f1f986
infrastructure,1,e9adb0c7a91445b08814aaa0ab33aa2e
infrastructure,1,ee8576e25e6946b697fdc507b4231930
infrastructure,1,ee876060acff484fb7bd6ac148423a4e
infrastructure,1,ef435f383cc54b42a880e5391507e8ce
infrastructure,1,f0cad559962b4aa285ff4eceb956507d
infrastructure,1,f193fb246219417db51b9f825c4d9621
infrastructure,1,f5962fb8248f4bd9a6bce5899c477d22
infrastructure,1,f66404461bac43ffb37465c824147bee
infrastructure,1,f8d6e879dd724ebaa78ae261fe99e655
infrastructure,1,f98369303cb84d85bb574cc66490b36a
infrastructure,1,fb2590981da44d80ace806696d3fa5b9
infrastructure,1,fc759aa673b54ba995cf9782f060ee45
infrastructure,1,ff4ab0aa240f466fbf272fe3d2db03b5
economic_or_replay,3566,07d506e253374f263e904d383a58bb1e
economic_or_replay,3422,09710712af37ce0f20f1be516ee57b73
economic_or_replay,3602,09d1c47f43ec1bb0f703ddcd94373d2d
economic_or_replay,3416,0dae4c7ee55662a5291baa962c3b7601
economic_or_replay,3861,0e69f68f13a7e9e9ff06741e7b2da41d
economic_or_replay,3501,0e7c37808cfd2f32e5291426bc4dc812
economic_or_replay,3621,0e8631d60f527c74720931a440120cc7
economic_or_replay,3536,0fc8b118d25cd06786dde98a9868ffd0
economic_or_replay,3920,1303f6a7de164326ab7c0b8ecde5a186
economic_or_replay,4029,164d4e28d713de23f133b38aafd460ca
economic_or_replay,3455,1834f6d8a0006738da37beb0d38cc163
economic_or_replay,3597,193a30b9adabf644d50f0bd30d6963ee
economic_or_replay,3188,22630d0d2c41d215c5f8673855f7de93
economic_or_replay,3780,22a0bad2a76fc42670e8f63e7ec8a3a7
economic_or_replay,3624,23fb7c567440a3832b2a55de9f742660
economic_or_replay,3681,270321b9b2105d28794c7397ec1ba58b
economic_or_replay,3357,29c710d65213864fad25dfc66d367a89
economic_or_replay,3585,2d658627813c5d54ee8f2a57432f988f
economic_or_replay,3924,2f3c1036e2d86652760221932e4de294
economic_or_replay,3584,31456bc7e0cc95c6e80409644d1da78d
economic_or_replay,3801,337aff8ba2fe66c3a86df390bb183e74
economic_or_replay,3501,34977d6e841a52f141f767448e549d96
economic_or_replay,3693,35fa9d18e9e505bfa611d4f0ea2f904d
economic_or_replay,3545,37c0a7441edf25e0ad6cea04482bbdee
economic_or_replay,3491,3ef7ab400bb6350c5664c9ea0816c0e4
economic_or_replay,3669,40d18feadae9152c2d3d0a3a1a5ef3d9
economic_or_replay,2061,4717dea40bf560cea8cf03ed73c02fe4
