context_rule_id,context_space_id,rule_type,rule_family,role,human_review_status,needs_manual_review,relationships_affected
nba_world_championship_conference_v1,nba_championship_conference_progression,championship_implies_conference,world_context,enabling,approved,True,7
nba_terms_same_scope_v1,nba_championship_conference_progression,market_terms_same_league_scope,market_terms,enabling,approved,True,7
epl_world_exact_topn_v1,premier_league_finish_position,exact_finish_implies_top_n,world_context,enabling,approved,True,3
epl_world_exact_exclusive_v1,premier_league_finish_position,exact_finish_positions_mutually_exclusive,world_context,enabling,approved,True,3
epl_terms_same_scope_v1,premier_league_finish_position,market_terms_exact_finish_scope,market_terms,enabling,approved,True,3
same_reference_not_tradeable_v1,same_reference_clock_before_gta_vi,shared_reference_not_tradeable,invalidating,invalidating,approved,True,13
us_nomination_general_not_deterministic_v1,us_2028_presidential_nomination_general,nomination_general_not_deterministic,invalidating,invalidating,approved,True,33
