trade_id,relationship_id,bundle_event_id,outcome_space_id,token_id,side,leg,fill_ts_ms,notional_usdc,replay_path,preset,basket,candidate,fees_usdc,fill_price,label,market_id,run_id,shares,slippage_usdc
bundle_bt_v2:2026_colombian_presidential_election_first_round:1767052826000:13,,,2026_colombian_presidential_election_first_round,44674753934222224973645551263585431199862484226841760360632158056570271014639,buy,,1767052826000,55.55555555555555555555555556,,,buy_all_no,Paloma Valencia,0E-26,0.88942500000,RESEARCH-ONLY — auto_applied_pending_human_review,569342,bundle_bt_v2,62.46232740878157861040060214,0.2777777777777777777777777778
bundle_bt_v2:2026_colombian_presidential_election_first_round:1767052826000:14,,,2026_colombian_presidential_election_first_round,102447579374170701068873021654048989952660764659006305952410860896511921232343,buy,,1767052826000,55.55555555555555555555555556,,,buy_all_no,Roy Barreras,0E-26,0.93967500000,RESEARCH-ONLY — auto_applied_pending_human_review,569345,bundle_bt_v2,59.12209599654726959380163946,0.2777777777777777777777777778
bundle_bt_v2:2026_colombian_presidential_election_first_round:1767052826000:15,,,2026_colombian_presidential_election_first_round,107183232420594046830622467775492543003026301644990203406740060907014867972010,buy,,1767052826000,55.55555555555555555555555556,,,buy_all_no,Sergio Fajardo,0E-26,0.95475000000,RESEARCH-ONLY — auto_applied_pending_human_review,569339,bundle_bt_v2,58.18858921765441796863635042,0.2777777777777777777777777778
bundle_bt_v2:2026_colombian_presidential_election_first_round:1767052826000:16,,,2026_colombian_presidential_election_first_round,86801759735305303057401841706783381396664997150506153743488239476725002518854,buy,,1767052826000,55.55555555555555555555555556,,,buy_all_no,Vicky Dávila,0E-26,0.93967500000,RESEARCH-ONLY — auto_applied_pending_human_review,569332,bundle_bt_v2,59.12209599654726959380163946,0.2777777777777777777777777778
bundle_bt_v2:2026_colombian_presidential_election_first_round:1767052826000:17,,,2026_colombian_presidential_election_first_round,38866455815587878378722453945405800333983041821938932743625970338528647654130,buy,,1767052826000,55.55555555555555555555555556,,,buy_all_no,any presidential candidate,0E-26,0.89947500000,RESEARCH-ONLY — auto_applied_pending_human_review,569454,bundle_bt_v2,61.76442430924211963151344458,0.2777777777777777777777777778
bundle_bt_v2:2026_nhl_stanley_cup:1750723207000:0,,,2026_nhl_stanley_cup,110385100135551380027074853970241483263713796301174664674312206071534212241565,buy,,1750723207000,125.0,,,buy_all_no,Anaheim Ducks,0.0,0.80400000000,RESEARCH-ONLY — auto_applied_pending_human_review,553848,bundle_bt_v2,155.4726368159203980099502488,0.6250
bundle_bt_v2:2026_nhl_stanley_cup:1750723207000:1,,,2026_nhl_stanley_cup,27567623701936433796601303407226067803713696645804713742508261420706593984700,buy,,1750723207000,125.0,,,buy_all_no,Buffalo Sabres,0.0,0.80400000000,RESEARCH-ONLY — auto_applied_pending_human_review,553851,bundle_bt_v2,155.4726368159203980099502488,0.6250
bundle_bt_v2:2026_nhl_stanley_cup:1750723207000:2,,,2026_nhl_stanley_cup,40473977441010332007887229299980126707900816205713676157646215720073415416624,buy,,1750723207000,125.0,,,buy_all_no,Carolina Hurricanes,0.0,0.79897500000,RESEARCH-ONLY — auto_applied_pending_human_review,553824,bundle_bt_v2,156.4504521418066898213335837,0.6250
bundle_bt_v2:2026_nhl_stanley_cup:1750723207000:3,,,2026_nhl_stanley_cup,87978082071653935678874296685430503892266481242311708420787197372467948088235,buy,,1750723207000,125.0,,,buy_all_no,Colorado Avalanche,0.0,0.79897500000,RESEARCH-ONLY — auto_applied_pending_human_review,553828,bundle_bt_v2,156.4504521418066898213335837,0.6250
bundle_bt_v2:2026_nhl_stanley_cup:1750723207000:4,,,2026_nhl_stanley_cup,21431572216384228534336063536634350950418274877940611814171622998125116043513,buy,,1750723207000,125.0,,,buy_all_no,Minnesota Wild,0.0,0.80400000000,RESEARCH-ONLY — auto_applied_pending_human_review,553838,bundle_bt_v2,155.4726368159203980099502488,0.6250
bundle_bt_v2:2026_nhl_stanley_cup:1750723207000:5,,,2026_nhl_stanley_cup,85705323099460694144578384076010167420188174879039498210125410497783582291911,buy,,1750723207000,125.0,,,buy_all_no,Montreal Canadiens,0.0,0.80400000000,RESEARCH-ONLY — auto_applied_pending_human_review,553849,bundle_bt_v2,155.4726368159203980099502488,0.6250
bundle_bt_v2:2026_nhl_stanley_cup:1750723207000:6,,,2026_nhl_stanley_cup,103499896493634243542593138704667892499128832763387792529972229935046936155180,buy,,1750723207000,125.0,,,buy_all_no,Philadelphia Flyers,0.0,0.80400000000,RESEARCH-ONLY — auto_applied_pending_human_review,553843,bundle_bt_v2,155.4726368159203980099502488,0.6250
bundle_bt_v2:2026_nhl_stanley_cup:1750723207000:7,,,2026_nhl_stanley_cup,58534831224432332845742394199681128700782343287162911891204466367752298448751,buy,,1750723207000,125.0,,,buy_all_no,Vegas Golden Knights,0.0,0.80400000000,RESEARCH-ONLY — auto_applied_pending_human_review,553829,bundle_bt_v2,155.4726368159203980099502488,0.6250
bundle_bt_v2:nba_finals:1750723207000:0,,,nba_finals,87330689906224096887625709229706923472442188571057301299963059101866409440363,buy,,1750723207000,142.8571428571428571428571429,,,buy_all_no,Cleveland Cavaliers,0E-25,0.74370000000,RESEARCH-ONLY — auto_applied_pending_human_review,553857,bundle_bt_v2,192.0897443285502986995524310,0.7142857142857142857142857145
bundle_bt_v2:nba_finals:1750723207000:1,,,nba_finals,17229559412398170618704225341353811929634795955092110836823940954753499964583,buy,,1750723207000,142.8571428571428571428571429,,,buy_all_no,Detroit Pistons,0E-25,0.79897500000,RESEARCH-ONLY — auto_applied_pending_human_review,553871,bundle_bt_v2,178.8005167334933597958098099,0.7142857142857142857142857145
bundle_bt_v2:nba_finals:1750723207000:2,,,nba_finals,70799758189725267592147252808427831117090382599571633897338944002834894241449,buy,,1750723207000,142.8571428571428571428571429,,,buy_all_no,Los Angeles Lakers,0E-25,0.79395000000,RESEARCH-ONLY — auto_applied_pending_human_review,553863,bundle_bt_v2,179.9321655735787608071756948,0.7142857142857142857142857145
bundle_bt_v2:nba_finals:1750723207000:3,,,nba_finals,65745417184316471123701656851846948699220805945682138735308449338418068204083,buy,,1750723207000,142.8571428571428571428571429,,,buy_all_no,Minnesota Timberwolves,0E-25,0.76380000000,RESEARCH-ONLY — auto_applied_pending_human_review,553859,bundle_bt_v2,187.0347510567463434706168407,0.7142857142857142857142857145
bundle_bt_v2:nba_finals:1750723207000:4,,,nba_finals,1770840559776249239623005379825945674336282130390798724203946923853499387834,buy,,1750723207000,142.8571428571428571428571429,,,buy_all_no,New York Knicks,0E-25,0.74370000000,RESEARCH-ONLY — auto_applied_pending_human_review,553858,bundle_bt_v2,192.0897443285502986995524310,0.7142857142857142857142857145
bundle_bt_v2:nba_finals:1750723207000:5,,,nba_finals,44914465637297319816681463234953032477919413063019359633128421605039733545953,buy,,1750723207000,142.8571428571428571428571429,,,buy_all_no,Oklahoma City Thunder,0E-25,0.65827500000,RESEARCH-ONLY — auto_applied_pending_human_review,553856,bundle_bt_v2,217.0174210734766733399523647,0.7142857142857142857142857145
bundle_bt_v2:nba_finals:1750723207000:6,,,nba_finals,12636035070565821048178968461063687179393834041535317885287743395873720755118,buy,,1750723207000,142.8571428571428571428571429,,,buy_all_no,San Antonio Spurs,0E-25,0.79897500000,RESEARCH-ONLY — auto_applied_pending_human_review,553866,bundle_bt_v2,178.8005167334933597958098099,0.7142857142857142857142857145
