context_rule_id,context_space_id,context_type,rule_type,rule_json,source_document_ids_json,quoted_evidence_json,confidence,needs_manual_review,human_review_status,human_review_notes,valid_from_ms,valid_to_ms,extraction_model,extraction_prompt_version,schema_version,ingested_ts_ms
nba_world_championship_conference_v1,nba_championship_conference_progression,sports_progression,championship_implies_conference,"{""broad_subtype"": ""team_wins_conference"", ""deterministic"": true, ""implication"": ""narrow_implies_broad"", ""narrow_subtype"": ""team_wins_championship"", ""relationship_subtype"": ""championship_implies_conference"", ""rule_family"": ""world_context""}","[""nba_world_championship_conference_v1_document""]","[{""quote"": ""NBA champion must win its conference playoff path before the NBA Finals."", ""source"": ""manual_curated""}]",0.9,True,pending,,,,manual,manual_rules_v1,1,1778587384927
nba_terms_same_scope_v1,nba_championship_conference_progression,sports_progression,market_terms_same_league_scope,"{""deterministic"": true, ""required_terms"": [""same_league"", ""same_season"", ""same_team""], ""rule_family"": ""market_terms""}","[""nba_terms_same_scope_v1_document""]","[{""quote"": ""Use only matching Polymarket NBA markets with same league, season, and team scope."", ""source"": ""manual_curated""}]",0.75,True,pending,,,,manual,manual_rules_v1,1,1778587384927
epl_world_exact_topn_v1,premier_league_finish_position,ranking_top_n,exact_finish_implies_top_n,"{""deterministic"": true, ""implication"": ""exact_position_implies_top_n"", ""relationship_subtype"": ""exact_finish_implies_top_n"", ""rule_family"": ""world_context""}","[""epl_world_exact_topn_v1_document""]","[{""quote"": ""A team finishing exactly third also finishes inside the top four."", ""source"": ""manual_curated""}]",0.9,True,pending,,,,manual,manual_rules_v1,1,1778587384927
epl_world_exact_exclusive_v1,premier_league_finish_position,ranking_top_n,exact_finish_positions_mutually_exclusive,"{""deterministic"": true, ""implication"": ""exact_positions_mutually_exclusive"", ""rule_family"": ""world_context""}","[""epl_world_exact_exclusive_v1_document""]","[{""quote"": ""A team cannot finish in two different exact league positions in the same season."", ""source"": ""manual_curated""}]",0.9,True,pending,,,,manual,manual_rules_v1,1,1778587384927
epl_terms_same_scope_v1,premier_league_finish_position,ranking_top_n,market_terms_exact_finish_scope,"{""deterministic"": true, ""required_terms"": [""same_league"", ""same_season"", ""same_team"", ""exact_finish_or_top_n""], ""rule_family"": ""market_terms""}","[""epl_terms_same_scope_v1_document""]","[{""quote"": ""Use only matching Polymarket finish markets with same league, season, and team scope."", ""source"": ""manual_curated""}]",0.75,True,pending,,,,manual,manual_rules_v1,1,1778587384927
same_reference_not_tradeable_v1,same_reference_clock_before_gta_vi,same_reference_temporal,shared_reference_not_tradeable,"{""deterministic_trade_allowed"": false, ""relationship_subtype"": ""same_reference_clock_only"", ""rule_family"": ""invalidating""}","[""same_reference_not_tradeable_v1_document""]","[{""quote"": ""Sharing a reference event does not make two independent markets complements."", ""source"": ""manual_curated""}]",0.9,True,pending,,,,manual,manual_rules_v1,1,1778587384927
us_nomination_general_not_deterministic_v1,us_2028_presidential_nomination_general,election_dependency,nomination_general_not_deterministic,"{""deterministic_trade_allowed"": false, ""relationship_subtype"": ""nomination_to_general_dependency"", ""rule_family"": ""invalidating""}","[""us_nomination_general_not_deterministic_v1_document""]","[{""quote"": ""Winning a party nomination is not the same proposition as winning the general election."", ""source"": ""manual_curated""}]",0.9,True,pending,,,,manual,manual_rules_v1,1,1778587384927
