context_document_id,context_source_id,context_space_id,url,title,retrieved_at_ms,raw_path,cleaned_text_path,content_excerpt,content_hash,extraction_status,error_message,schema_version,ingested_ts_ms
nba_terms_same_scope_v1_document,nba_terms_same_scope_v1_source,nba_championship_conference_progression,manual://nba_market_terms,Manual NBA market terms rule,1778842243840,manual://nba_market_terms,,"Use only matching Polymarket NBA markets with same league, season, and team scope.",731e94fd2983fb776c500664c867077a9a4b2eac28fd4769b8459398cb15680f,cleaned,,1,1778842243840
nba_world_championship_conference_v1_document,nba_world_championship_conference_v1_source,nba_championship_conference_progression,manual://nba_championship_conference_progression,Manual NBA progression rule,1778842243840,manual://nba_championship_conference_progression,,NBA champion must win its conference playoff path before the NBA Finals.,1590a75a09f6adee2d0c97b786ec49aff53aa1a2169fbb2574a1f2dcdd441049,cleaned,,1,1778842243840
epl_world_exact_exclusive_v1_document,epl_world_exact_exclusive_v1_source,premier_league_finish_position,manual://premier_league_exact_positions,Manual EPL exact-position rule,1778842243840,manual://premier_league_exact_positions,,A team cannot finish in two different exact league positions in the same season.,00400a17bbe76f01476c80ffba90479a3c66fd2ab5e0dc49d2a354dd44c7beb0,cleaned,,1,1778842243840
epl_terms_same_scope_v1_document,epl_terms_same_scope_v1_source,premier_league_finish_position,manual://premier_league_market_terms,Manual EPL market terms rule,1778842243840,manual://premier_league_market_terms,,"Use only matching Polymarket finish markets with same league, season, and team scope.",2757e0c07e12cadb15bfe086fa45012049b9e8952cb14459db18132baef61517,cleaned,,1,1778842243840
epl_world_exact_topn_v1_document,epl_world_exact_topn_v1_source,premier_league_finish_position,manual://premier_league_finish_position,Manual EPL ranking rule,1778842243840,manual://premier_league_finish_position,,A team finishing exactly third also finishes inside the top four.,5d68794757d81596634ccf923caf9731e2157a6a308b30ef108e34f2f3d16262,cleaned,,1,1778842243840
same_reference_not_tradeable_v1_document,same_reference_not_tradeable_v1_source,same_reference_clock_before_gta_vi,manual://same_reference_clock,Manual same-reference clock rule,1778842243840,manual://same_reference_clock,,Sharing a reference event does not make two independent markets complements.,01f332a0bab474006474b57d88a35d1740f2335fdf7c629f63f9ce68caae1737,cleaned,,1,1778842243840
us_nomination_general_not_deterministic_v1_document,us_nomination_general_not_deterministic_v1_source,us_2028_presidential_nomination_general,manual://us_2028_nomination_general,Manual nomination/general dependency rule,1778842243840,manual://us_2028_nomination_general,,Winning a party nomination is not the same proposition as winning the general election.,dfbdcd898355a7000b0f508d725cfbfdb25507e996e9e3fb59403879da12ddc4,cleaned,,1,1778842243840
