accepted_trades,alignment_mode,avg_trade_pnl,cooldown_minutes,credibility_label,distinct_bundles_traded,distinct_relationships_traded,dominant_trade_share_of_pnl,exposure_used,max_drawdown,max_exposure_per_space,max_loss,max_stake_per_trade,max_win,median_trade_pnl,min_confidence,min_edge,overfit_warning,parameter_set_id,positive_after_costs,positive_share,raw_fills,reentry_policy,robustness_score,simulated_pnl,sizing_policy,slippage_bps,slippage_paid,space_id,strategy_family,unique_violation_windows,win_rate
1,forward_fill_max_age,0.0,0,exploratory_only_not_credible,0,0,1.0,10.0,0.0,100.0,0.0,5.0,0.0,0.0,0.35,0.01,True,e236372c5a39,False,0.0,2,reenter_after_cooldown,0.25,0.0,flat_small,50,0.05,2026_colombian_presidential_election_candidate_winner,unknown,1,0.4
1,forward_fill_max_age,0.0,0,exploratory_only_not_credible,0,0,1.0,10.0,0.0,100.0,0.0,5.0,0.0,0.0,0.35,0.01,True,e236372c5a39,False,0.0,2,reenter_after_cooldown,0.25,0.0,flat_small,50,0.05,2026_colombian_presidential_election_first_round,unknown,1,0.4
1,forward_fill_max_age,0.0,0,exploratory_only_not_credible,0,0,1.0,10.0,0.0,100.0,0.0,5.0,0.0,0.0,0.35,0.01,True,e236372c5a39,False,0.0,2,reenter_after_cooldown,0.25,0.0,flat_small,50,0.05,2026_nhl_stanley_cup,unknown,1,0.4
1,forward_fill_max_age,0.0,0,exploratory_only_not_credible,0,0,1.0,10.0,0.0,100.0,0.0,5.0,0.0,0.0,0.35,0.01,True,e236372c5a39,False,0.0,2,reenter_after_cooldown,0.25,0.0,flat_small,50,0.05,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,0,exploratory_only_not_credible,0,0,1.0,10.0,0.0,100.0,0.0,5.0,0.0,0.0,0.35,0.01,True,e236372c5a39,False,0.0,2,reenter_after_cooldown,0.25,0.0,flat_small,50,0.05,2028_republicans_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,0,exploratory_only_not_credible,0,0,1.0,10.0,0.0,100.0,0.0,5.0,0.0,0.0,0.35,0.01,True,e236372c5a39,False,0.0,2,reenter_after_cooldown,0.25,0.0,flat_small,50,0.05,2028_us_presidential_election_candidate_winner,unknown,1,0.4
1,forward_fill_max_age,0.0,0,exploratory_only_not_credible,0,0,1.0,10.0,0.0,100.0,0.0,5.0,0.0,0.0,0.35,0.01,True,e236372c5a39,False,0.0,2,reenter_after_cooldown,0.25,0.0,flat_small,50,0.05,nba_finals,unknown,1,0.4
1,forward_fill_max_age,0.0,0,exploratory_only_not_credible,0,0,1.0,10.0,0.0,100.0,0.0,5.0,0.0,0.0,0.35,0.01,True,e236372c5a39,False,0.0,2,reenter_after_cooldown,0.25,0.0,flat_small,50,0.05,premier_league_finish_position,unknown,1,0.4
1,forward_fill_max_age,0.0,0,exploratory_only_not_credible,0,0,1.0,10.0,0.0,100.0,0.0,5.0,0.0,0.0,0.35,0.01,True,e236372c5a39,False,0.0,2,reenter_after_cooldown,0.25,0.0,flat_small,50,0.05,world_cup_champion,unknown,1,0.4
