bundle_basket,completeness_status,gross_edge,known_total_candidates,net_edge_after_costs,observed_candidates,rejection_reason,signal_ts_ms,space_attribution_status,space_id,sum_yes_prices
none,unknown,0.0135,,-0.2065,44,net_edge_below_threshold,1772154030000,bundle_space,2028_democrats_presidential_nomination,1.0135
none,unknown,0.0135,,-0.2065,44,net_edge_below_threshold,1772157630000,bundle_space,2028_democrats_presidential_nomination,1.0135
none,unknown,0.0135,,-0.2065,44,net_edge_below_threshold,1772161230000,bundle_space,2028_democrats_presidential_nomination,1.0135
none,unknown,0.0135,,-0.2065,44,net_edge_below_threshold,1772164830000,bundle_space,2028_democrats_presidential_nomination,1.0135
none,unknown,0.0135,,-0.2065,44,net_edge_below_threshold,1772168430000,bundle_space,2028_democrats_presidential_nomination,1.0135
none,unknown,0.003,,-0.217,44,net_edge_below_threshold,1772240430000,bundle_space,2028_democrats_presidential_nomination,1.003
none,unknown,0.003,,-0.217,44,net_edge_below_threshold,1772244030000,bundle_space,2028_democrats_presidential_nomination,1.003
none,unknown,0.003,,-0.217,44,net_edge_below_threshold,1772247630000,bundle_space,2028_democrats_presidential_nomination,1.003
none,unknown,0.003,,-0.217,44,net_edge_below_threshold,1772251230000,bundle_space,2028_democrats_presidential_nomination,1.003
none,unknown,0.003,,-0.217,44,net_edge_below_threshold,1772254830000,bundle_space,2028_democrats_presidential_nomination,1.003
none,unknown,0.0255,,-0.1945,44,net_edge_below_threshold,1772370030000,bundle_space,2028_democrats_presidential_nomination,0.9745
none,unknown,0.0255,,-0.1945,44,net_edge_below_threshold,1772373630000,bundle_space,2028_democrats_presidential_nomination,0.9745
none,unknown,0.0255,,-0.1945,44,net_edge_below_threshold,1772377230000,bundle_space,2028_democrats_presidential_nomination,0.9745
none,unknown,0.0255,,-0.1945,44,net_edge_below_threshold,1772380830000,bundle_space,2028_democrats_presidential_nomination,0.9745
none,unknown,0.0255,,-0.1945,44,net_edge_below_threshold,1772384430000,bundle_space,2028_democrats_presidential_nomination,0.9745
none,unknown,0.018,,-0.202,44,net_edge_below_threshold,1772456430000,bundle_space,2028_democrats_presidential_nomination,0.982
none,unknown,0.018,,-0.202,44,net_edge_below_threshold,1772460030000,bundle_space,2028_democrats_presidential_nomination,0.982
none,unknown,0.018,,-0.202,44,net_edge_below_threshold,1772463630000,bundle_space,2028_democrats_presidential_nomination,0.982
none,unknown,0.018,,-0.202,44,net_edge_below_threshold,1772467230000,bundle_space,2028_democrats_presidential_nomination,0.982
none,unknown,0.018,,-0.202,44,net_edge_below_threshold,1772470830000,bundle_space,2028_democrats_presidential_nomination,0.982
none,unknown,0.0175,,-0.2025,44,net_edge_below_threshold,1772629230000,bundle_space,2028_democrats_presidential_nomination,0.9825
none,unknown,0.0175,,-0.2025,44,net_edge_below_threshold,1772632830000,bundle_space,2028_democrats_presidential_nomination,0.9825
none,unknown,0.0175,,-0.2025,44,net_edge_below_threshold,1772636430000,bundle_space,2028_democrats_presidential_nomination,0.9825
none,unknown,0.0175,,-0.2025,44,net_edge_below_threshold,1772640030000,bundle_space,2028_democrats_presidential_nomination,0.9825
none,unknown,0.0175,,-0.2025,44,net_edge_below_threshold,1772643630000,bundle_space,2028_democrats_presidential_nomination,0.9825
none,unknown,0.0185,,-0.2015,44,net_edge_below_threshold,1772672430000,bundle_space,2028_democrats_presidential_nomination,0.9815
none,unknown,0.0185,,-0.2015,44,net_edge_below_threshold,1772676030000,bundle_space,2028_democrats_presidential_nomination,0.9815
none,unknown,0.0185,,-0.2015,44,net_edge_below_threshold,1772679630000,bundle_space,2028_democrats_presidential_nomination,0.9815
none,unknown,0.0185,,-0.2015,44,net_edge_below_threshold,1772683230000,bundle_space,2028_democrats_presidential_nomination,0.9815
none,unknown,0.0185,,-0.2015,44,net_edge_below_threshold,1772686830000,bundle_space,2028_democrats_presidential_nomination,0.9815
none,unknown,0.0125,,-0.2075,44,net_edge_below_threshold,1772758830000,bundle_space,2028_democrats_presidential_nomination,0.9875
none,unknown,0.0125,,-0.2075,44,net_edge_below_threshold,1772762430000,bundle_space,2028_democrats_presidential_nomination,0.9875
