market_id,token_id,question,active,closed,end_date_ms
553856,49500299856831034491021962156746701298730459370557900271970866855042624695770,Will the Oklahoma City Thunder win the 2026 NBA Finals?,True,False,2026-07-01T00:00:00Z
558947,98803390175521456712653678280474920637934596234667490983228578374641217211132,Will Colombia win the 2026 FIFA World Cup?,True,False,2026-07-20T00:00:00Z
558952,99303605181956827630838461879484468077121754034387765735989859308848389894408,Will Canada win the 2026 FIFA World Cup?,True,False,2026-07-20T00:00:00Z
558959,33747305042007778221968790541070114008811587676172030120559423448386310500957,Will Iran win the 2026 FIFA World Cup?,True,False,2026-07-20T00:00:00Z
558970,61595193871140044336898809781418183952441527621084596848414908595268863899573,Will Cape Verde win the 2026 FIFA World Cup?,True,False,2026-07-20T00:00:00Z
559655,71169839497420596285841847514123589847893415750912355173877524195175834054354,Will Josh Shapiro win the 2028 Democratic presidential nomination?,True,False,2028-11-07T00:00:00Z
561985,109121432238307135312607668741094299588249627783575654034498708660414246884093,Will Brian Kemp win the 2028 Republican presidential nomination?,True,False,2028-11-07T00:00:00Z
561991,21684611233679565633387313395955873024927822291738934804105644401703825367322,Will Matt Gaetz win the 2028 Republican presidential nomination?,True,False,2028-11-07T00:00:00Z
562001,76572162491038773682779378100661251853152133818805423848523216103658476280587,Will Steve Bannon win the 2028 Republican presidential nomination?,True,False,2028-11-07T00:00:00Z
562003,10651968542740640896482407431367624536081358925965856338872110525887291512129,Will Kim Kardashian win the 2028 Republican presidential nomination?,True,False,2028-11-07T00:00:00Z
564213,92156510891798873020497715268024772851858076229893943637545856397683791106647,Will the Los Angeles Lakers win the NBA Western Conference Finals?,True,False,2026-06-16T00:00:00Z
568116,22094182676612877581056034720566110371610082057092726094559729674155018648896,Will Trump be impeached by end of 2026?,True,False,2026-12-31T00:00:00Z
569334,12516303356363467179885576472702473520609540998008534980142053225514923736128,Will Claudia López win the 1st round of the 2026 Colombian presidential election?,True,False,2026-05-31T16:00:00Z
569336,102456955097401421651876446896034115681794561141893258504967065325508688692283,Will Juan Daniel Oviedo win the 1st round of the 2026 Colombian presidential election?,True,False,2026-05-31T16:00:00Z
572111,62239185941824652402752813729371423845548004986780601100316323331270822642667,James Norton announced as next James Bond?,True,False,2026-06-30T00:00:00Z
