trade_id,relationship_id,bundle_event_id,outcome_space_id,token_id,side,leg,fill_ts_ms,notional_usdc,replay_path,preset,alignment_quality,candidate_id,context_space_id,entry_policy,execution_model,exit_policy,fees_usdc,fill_price,first_entry_or_reentry,gross_edge,label,market_id,net_edge_after_cost,preset_label,preset_name,run_id,shares,sizing_policy,slippage_cost_usdc,strategy_lane,violation_window_id
7251879d036749caacc5de0789bb3b4a,5910a43939d7ba6fe59cf6b80718e5c3,,,12636035070565821048178968461063687179393834041535317885287743395873720755118,buy,a,1765476007000,5.0,research,exploratory_trade_surface,unknown,f80d5b6659d36133554c50403ea332cd,sports_championship_conference_progression,reenter_after_cooldown,price_history_only,close_on_reversal,0.0,0.03919500000,reentry,0.01100000,RESEARCH-ONLY — exploratory_trade_surface,553866,0.00100000,EXPLORATORY,exploratory_trade_surface,phase_h_explore_20260516,127.5672917463962240081643067,flat_small,0.025,strict_context_valid,e624ca7cb1ac218d5c932460
479a1e4f3d7844979f58e5201bcd64f5,5910a43939d7ba6fe59cf6b80718e5c3,,,6842047670820419171425914468337077680927367717837404858652329372722501774629,buy,b,1765476007000,5.0,research,exploratory_trade_surface,unknown,f80d5b6659d36133554c50403ea332cd,sports_championship_conference_progression,reenter_after_cooldown,price_history_only,close_on_reversal,0.0,0.02814000000,reentry,0.01100000,RESEARCH-ONLY — exploratory_trade_surface,564218,0.00100000,EXPLORATORY,exploratory_trade_surface,phase_h_explore_20260516,177.6830135039090262970859986,flat_small,0.025,strict_context_valid,e624ca7cb1ac218d5c932460
3291bb9bad9e4b03bcfa88b202644b93,5910a43939d7ba6fe59cf6b80718e5c3,,,12636035070565821048178968461063687179393834041535317885287743395873720755118,buy,a,1765479607000,5.0,research,exploratory_trade_surface,unknown,185b9da6b511c0eded9f095d717468fd,sports_championship_conference_progression,reenter_after_cooldown,price_history_only,close_on_reversal,0.0,0.03919500000,reentry,0.01100000,RESEARCH-ONLY — exploratory_trade_surface,553866,0.00100000,EXPLORATORY,exploratory_trade_surface,phase_h_explore_20260516,127.5672917463962240081643067,flat_small,0.025,strict_context_valid,672c7620f57fa448f4277f64
82f1c1ee6678428181d642d1524635d7,5910a43939d7ba6fe59cf6b80718e5c3,,,6842047670820419171425914468337077680927367717837404858652329372722501774629,buy,b,1765479607000,5.0,research,exploratory_trade_surface,unknown,185b9da6b511c0eded9f095d717468fd,sports_championship_conference_progression,reenter_after_cooldown,price_history_only,close_on_reversal,0.0,0.02814000000,reentry,0.01100000,RESEARCH-ONLY — exploratory_trade_surface,564218,0.00100000,EXPLORATORY,exploratory_trade_surface,phase_h_explore_20260516,177.6830135039090262970859986,flat_small,0.025,strict_context_valid,672c7620f57fa448f4277f64
2e7ab88311a74b709a8334b941f2878d,5910a43939d7ba6fe59cf6b80718e5c3,,,12636035070565821048178968461063687179393834041535317885287743395873720755118,buy,a,1765483207000,5.0,research,exploratory_trade_surface,unknown,89d057a3fcec95eb37c5272735e7e723,sports_championship_conference_progression,reenter_after_cooldown,price_history_only,close_on_reversal,0.0,0.03919500000,reentry,0.01100000,RESEARCH-ONLY — exploratory_trade_surface,553866,0.00100000,EXPLORATORY,exploratory_trade_surface,phase_h_explore_20260516,127.5672917463962240081643067,flat_small,0.025,strict_context_valid,b6982f6eb4a1ee033a8b3b02
1cb914317267488fa9efcf0b6c1af9aa,5910a43939d7ba6fe59cf6b80718e5c3,,,6842047670820419171425914468337077680927367717837404858652329372722501774629,buy,b,1765483207000,5.0,research,exploratory_trade_surface,unknown,89d057a3fcec95eb37c5272735e7e723,sports_championship_conference_progression,reenter_after_cooldown,price_history_only,close_on_reversal,0.0,0.02814000000,reentry,0.01100000,RESEARCH-ONLY — exploratory_trade_surface,564218,0.00100000,EXPLORATORY,exploratory_trade_surface,phase_h_explore_20260516,177.6830135039090262970859986,flat_small,0.025,strict_context_valid,b6982f6eb4a1ee033a8b3b02
ebb0669b9a3347b4b91878b47a82e785,5910a43939d7ba6fe59cf6b80718e5c3,,,12636035070565821048178968461063687179393834041535317885287743395873720755118,buy,a,1765486807000,5.0,research,exploratory_trade_surface,unknown,386cc3bb71c92fd85496e9f101a63f90,sports_championship_conference_progression,reenter_after_cooldown,price_history_only,close_on_reversal,0.0,0.03919500000,reentry,0.01100000,RESEARCH-ONLY — exploratory_trade_surface,553866,0.00100000,EXPLORATORY,exploratory_trade_surface,phase_h_explore_20260516,127.5672917463962240081643067,flat_small,0.025,strict_context_valid,495e765605ac722ab5915b6f
19a7237a21794ab092dec473ffd32351,5910a43939d7ba6fe59cf6b80718e5c3,,,6842047670820419171425914468337077680927367717837404858652329372722501774629,buy,b,1765486807000,5.0,research,exploratory_trade_surface,unknown,386cc3bb71c92fd85496e9f101a63f90,sports_championship_conference_progression,reenter_after_cooldown,price_history_only,close_on_reversal,0.0,0.02814000000,reentry,0.01100000,RESEARCH-ONLY — exploratory_trade_surface,564218,0.00100000,EXPLORATORY,exploratory_trade_surface,phase_h_explore_20260516,177.6830135039090262970859986,flat_small,0.025,strict_context_valid,495e765605ac722ab5915b6f
b54ac142e9cb4bb08bd1bf011fb48b1a,5910a43939d7ba6fe59cf6b80718e5c3,,,12636035070565821048178968461063687179393834041535317885287743395873720755118,buy,a,1765490407000,5.0,research,exploratory_trade_surface,unknown,31c68be282c71be0fa7a08f3d6f3410f,sports_championship_conference_progression,reenter_after_cooldown,price_history_only,close_on_reversal,0.0,0.03919500000,reentry,0.01100000,RESEARCH-ONLY — exploratory_trade_surface,553866,0.00100000,EXPLORATORY,exploratory_trade_surface,phase_h_explore_20260516,127.5672917463962240081643067,flat_small,0.025,strict_context_valid,596799296fcc5438557c415c
e449ab923ccf43dcb9d28daf523bb553,5910a43939d7ba6fe59cf6b80718e5c3,,,6842047670820419171425914468337077680927367717837404858652329372722501774629,buy,b,1765490407000,5.0,research,exploratory_trade_surface,unknown,31c68be282c71be0fa7a08f3d6f3410f,sports_championship_conference_progression,reenter_after_cooldown,price_history_only,close_on_reversal,0.0,0.02814000000,reentry,0.01100000,RESEARCH-ONLY — exploratory_trade_surface,564218,0.00100000,EXPLORATORY,exploratory_trade_surface,phase_h_explore_20260516,177.6830135039090262970859986,flat_small,0.025,strict_context_valid,596799296fcc5438557c415c
