decision_id,relationship_id,context_space_id,context_rule_ids_json,previous_validation_status,new_validation_status,previous_strategy_eligibility,new_strategy_eligibility,strategy_lane,decision_reason,evidence_summary,schema_version,ingested_ts_ms
302b35c29a1ebec209cce171078857b3,d83ea6ad30dbdbf28a07297bbba46ff2,us_2028_presidential_nomination_general,"[""us_nomination_general_not_deterministic_v1""]",needs_manual_review,needs_manual_review,ineligible,ineligible,analysis_only,context rule explicitly keeps this relationship analysis-only,nomination_general_not_deterministic:pending:0.90,1,1778587447585
8b2f14c66d78dec8b45d05dc60a162b7,9003ce2e15bbe67795cee885e20fcca1,us_2028_presidential_nomination_general,"[""us_nomination_general_not_deterministic_v1""]",needs_manual_review,needs_manual_review,ineligible,ineligible,analysis_only,context rule explicitly keeps this relationship analysis-only,nomination_general_not_deterministic:pending:0.90,1,1778587447586
dffb2bd678069e56345ff87f10755aee,656c1df5bb31997622521bc9e9f0adc6,same_reference_clock_before_gta_vi,"[""same_reference_not_tradeable_v1""]",needs_manual_review,needs_manual_review,ineligible,ineligible,analysis_only,context rule explicitly keeps this relationship analysis-only,shared_reference_not_tradeable:pending:0.90,1,1778587447587
649ea29fc6b9e9383c2f603d9d720bdc,9f8979f5595d8799aa56516df800886a,same_reference_clock_before_gta_vi,"[""same_reference_not_tradeable_v1""]",needs_manual_review,needs_manual_review,ineligible,ineligible,analysis_only,context rule explicitly keeps this relationship analysis-only,shared_reference_not_tradeable:pending:0.90,1,1778587447587
9049c83448a052911d725dbd0a3ccb9d,eb2787e350b8e0294d593c91947117e4,same_reference_clock_before_gta_vi,"[""same_reference_not_tradeable_v1""]",needs_manual_review,needs_manual_review,ineligible,ineligible,analysis_only,context rule explicitly keeps this relationship analysis-only,shared_reference_not_tradeable:pending:0.90,1,1778587447587
551aedbb39b030236fbf1fcc1d6ff93d,a38a46b0aa9e43da32288b6491f29802,same_reference_clock_before_gta_vi,"[""same_reference_not_tradeable_v1""]",needs_manual_review,needs_manual_review,ineligible,ineligible,analysis_only,context rule explicitly keeps this relationship analysis-only,shared_reference_not_tradeable:pending:0.90,1,1778587447587
3515a569fd06372dc5534683ed6dba96,2fc7c0bfadee801d685006086656d299,same_reference_clock_before_gta_vi,"[""same_reference_not_tradeable_v1""]",needs_manual_review,needs_manual_review,ineligible,ineligible,analysis_only,context rule explicitly keeps this relationship analysis-only,shared_reference_not_tradeable:pending:0.90,1,1778587447588
c64d7a9234bc17581e9a543ec0861665,3510fa79844874170bc5aa27001fd3f9,same_reference_clock_before_gta_vi,"[""same_reference_not_tradeable_v1""]",needs_manual_review,needs_manual_review,ineligible,ineligible,analysis_only,context rule explicitly keeps this relationship analysis-only,shared_reference_not_tradeable:pending:0.90,1,1778587447588
71d8fd5164d420a4781b218192e051ad,ce1403a76b3c8a70b5e36e97d0a18741,us_2028_presidential_nomination_general,"[""us_nomination_general_not_deterministic_v1""]",needs_manual_review,needs_manual_review,ineligible,ineligible,analysis_only,context rule explicitly keeps this relationship analysis-only,nomination_general_not_deterministic:pending:0.90,1,1778587447589
e51a2ec5d851f4adce10838aa1139a34,eafa282f1fe3c2034c6e7000af2a36f1,us_2028_presidential_nomination_general,"[""us_nomination_general_not_deterministic_v1""]",needs_manual_review,needs_manual_review,ineligible,ineligible,analysis_only,context rule explicitly keeps this relationship analysis-only,nomination_general_not_deterministic:pending:0.90,1,1778587447591
66f1b38ee975dd24d71ad23953daa980,3c4c4d4734389fadaed96d4f40e0c654,us_2028_presidential_nomination_general,"[""us_nomination_general_not_deterministic_v1""]",needs_manual_review,needs_manual_review,ineligible,ineligible,analysis_only,context rule explicitly keeps this relationship analysis-only,nomination_general_not_deterministic:pending:0.90,1,1778587447592
a88884167b1d279909dea2fe5eac9ae5,eb3a5dbeda50cda3d8ebb7efb0ec27ac,us_2028_presidential_nomination_general,"[""us_nomination_general_not_deterministic_v1""]",needs_manual_review,needs_manual_review,ineligible,ineligible,analysis_only,context rule explicitly keeps this relationship analysis-only,nomination_general_not_deterministic:pending:0.90,1,1778587447592
8e4229fd63d401d26c5439ed4bbe65b1,d6f3e0670c0e7765406d5af2709303ed,us_2028_presidential_nomination_general,"[""us_nomination_general_not_deterministic_v1""]",needs_manual_review,needs_manual_review,ineligible,ineligible,analysis_only,context rule explicitly keeps this relationship analysis-only,nomination_general_not_deterministic:pending:0.90,1,1778587447593
48312a845864a74f8306501920431880,8b937b1b819dbf225c72414c3b5653d9,us_2028_presidential_nomination_general,"[""us_nomination_general_not_deterministic_v1""]",needs_manual_review,needs_manual_review,ineligible,ineligible,analysis_only,context rule explicitly keeps this relationship analysis-only,nomination_general_not_deterministic:pending:0.90,1,1778587447594
675f6a6ed64ebeec19289487644bcd72,4ceb6c57b9a9908fcbbbe636c2b57b9d,us_2028_presidential_nomination_general,"[""us_nomination_general_not_deterministic_v1""]",needs_manual_review,needs_manual_review,ineligible,ineligible,analysis_only,context rule explicitly keeps this relationship analysis-only,nomination_general_not_deterministic:pending:0.90,1,1778587447594
7eea9650d83e98e0b46074102a77afa1,e5267754e49a11237e3cd6f4d4a5eda2,us_2028_presidential_nomination_general,"[""us_nomination_general_not_deterministic_v1""]",needs_manual_review,needs_manual_review,ineligible,ineligible,analysis_only,context rule explicitly keeps this relationship analysis-only,nomination_general_not_deterministic:pending:0.90,1,1778587447595
1280508b6e6cf0f147f957a937f7575d,8cd78a1977f5200ff342e072bdd6bf15,us_2028_presidential_nomination_general,"[""us_nomination_general_not_deterministic_v1""]",needs_manual_review,needs_manual_review,ineligible,ineligible,analysis_only,context rule explicitly keeps this relationship analysis-only,nomination_general_not_deterministic:pending:0.90,1,1778587447595
ade05fccd411b0915a6202269163d7ae,67702d888fa0ce85614d831561f2d55b,us_2028_presidential_nomination_general,"[""us_nomination_general_not_deterministic_v1""]",needs_manual_review,needs_manual_review,ineligible,ineligible,analysis_only,context rule explicitly keeps this relationship analysis-only,nomination_general_not_deterministic:pending:0.90,1,1778587447596
78a872484705ac340de1c74107476217,671c63a001cfdfe037255346d48f4dd6,us_2028_presidential_nomination_general,"[""us_nomination_general_not_deterministic_v1""]",needs_manual_review,needs_manual_review,ineligible,ineligible,analysis_only,context rule explicitly keeps this relationship analysis-only,nomination_general_not_deterministic:pending:0.90,1,1778587447596
