accepted_trades,alignment_mode,avg_trade_pnl,cooldown_minutes,credibility_label,distinct_bundles_traded,distinct_relationships_traded,dominant_trade_share_of_pnl,exposure_used,max_drawdown,max_exposure_per_space,max_loss,max_stake_per_trade,max_win,median_trade_pnl,min_confidence,min_edge,overfit_warning,parameter_set_id,positive_after_costs,raw_fills,reentry_policy,robustness_score,simulated_pnl,sizing_policy,slippage_bps,slippage_paid,space_id,strategy_family,unique_violation_windows,win_rate
52,forward_fill_max_age,0.09777875,0,exploratory_only_not_credible,0,3,0.5,100.0,1.016899,100.0,0.0,25.0,5.0844949999999995,0.09777875,0.35,0.01,False,4d51534abe64,True,104,first_violation_only,0.8808,5.0845,flat_small,0,0.0,sports_championship_conference_progression,nesting,52,0.55
52,forward_fill_max_age,0.09288981249999997,60,exploratory_only_not_credible,0,3,0.5,500.0,0.9660540499999999,500.0,0.0,25.0,4.830270249999999,0.09288981249999997,0.35,0.01,False,a7faee200160,True,104,first_violation_only,0.8808,4.8303,flat_small,50,13.0,sports_championship_conference_progression,nesting,52,0.55
52,forward_fill_max_age,0.09288981249999997,0,exploratory_only_not_credible,0,3,0.5,100.0,0.9660540499999999,100.0,0.0,5.0,4.830270249999999,0.09288981249999997,0.35,0.01,False,a697a29e95e0,True,104,first_violation_only,0.8808,4.8303,flat_small,50,2.6,sports_championship_conference_progression,nesting,52,0.55
52,forward_fill_max_age,0.102925,0,exploratory_only_not_credible,0,3,0.5,500.0,1.0704200000000001,500.0,0.0,25.0,5.3521,0.102925,0.35,0.0,False,91dec84de6f3,True,104,first_violation_only,0.8808,5.3521,flat_small,0,0.0,sports_championship_conference_progression,nesting,52,0.55
83,forward_fill_max_age,0.061258975903614454,60,exploratory_only_not_credible,0,3,0.5,500.0,1.016899,500.0,0.0,25.0,5.0844949999999995,0.061258975903614454,0.35,0.0,False,21cb834c94ff,True,166,reenter_after_cooldown,0.8808,5.0845,flat_small,50,20.75,sports_championship_conference_progression,nesting,83,0.55
83,forward_fill_max_age,0.058196027108433725,0,exploratory_only_not_credible,0,3,0.5,100.0,0.9660540499999999,100.0,0.0,25.0,4.830270249999999,0.058196027108433725,0.35,0.01,False,9ea5a13a5457,True,166,reenter_after_cooldown,0.8808,4.8303,flat_small,50,20.75,sports_championship_conference_progression,nesting,83,0.55
52,forward_fill_max_age,0.09777875,0,exploratory_only_not_credible,0,3,0.5,100.0,1.016899,100.0,0.0,5.0,5.0844949999999995,0.09777875,0.35,0.01,False,14c29c86a4f6,True,104,first_violation_only,0.8808,5.0845,flat_small,0,0.0,sports_championship_conference_progression,nesting,52,0.55
52,forward_fill_max_age,0.09777875,0,exploratory_only_not_credible,0,3,0.5,100.0,1.016899,100.0,0.0,25.0,5.0844949999999995,0.09777875,0.35,0.0,False,3f6d394773f6,True,104,first_violation_only,0.8808,5.0845,flat_small,50,13.0,sports_championship_conference_progression,nesting,52,0.55
83,forward_fill_max_age,0.054072168674698794,0,exploratory_only_not_credible,0,3,0.5,500.0,0.897598,500.0,0.0,5.0,4.48799,0.054072168674698794,0.7,0.0,False,b993b7ff4df9,True,166,reenter_after_cooldown,0.8808,4.488,flat_small,50,4.15,sports_championship_conference_progression,nesting,83,0.55
52,forward_fill_max_age,0.09777875,60,exploratory_only_not_credible,0,3,0.5,500.0,1.016899,500.0,0.0,25.0,5.0844949999999995,0.09777875,0.35,0.0,False,ee4182ff0012,True,104,first_violation_only,0.8808,5.0845,flat_small,50,13.0,sports_championship_conference_progression,nesting,52,0.55
83,forward_fill_max_age,0.05691807228915662,0,exploratory_only_not_credible,0,3,0.5,100.0,0.94484,100.0,0.0,5.0,4.7242,0.05691807228915662,0.7,0.0,False,554745f862fc,True,166,reenter_after_cooldown,0.8808,4.7242,flat_small,0,0.0,sports_championship_conference_progression,nesting,83,0.55
83,forward_fill_max_age,0.061258975903614454,60,exploratory_only_not_credible,0,3,0.5,100.0,1.016899,100.0,0.0,25.0,5.0844949999999995,0.061258975903614454,0.35,0.01,False,7aa1243e85d3,True,166,reenter_after_cooldown,0.8808,5.0845,flat_small,0,0.0,sports_championship_conference_progression,nesting,83,0.55
52,forward_fill_max_age,0.09288981249999997,60,exploratory_only_not_credible,0,3,0.5,500.0,0.9660540499999999,500.0,0.0,5.0,4.830270249999999,0.09288981249999997,0.35,0.01,False,58a784477941,True,104,first_violation_only,0.8808,4.8303,flat_small,50,2.6,sports_championship_conference_progression,nesting,52,0.55
52,forward_fill_max_age,0.0863075,60,exploratory_only_not_credible,0,3,0.5,500.0,0.897598,500.0,0.0,25.0,4.48799,0.0863075,0.7,0.0,False,9cb4f8f4b5ee,True,104,first_violation_only,0.8808,4.488,flat_small,50,13.0,sports_championship_conference_progression,nesting,52,0.55
52,forward_fill_max_age,0.102925,60,exploratory_only_not_credible,0,3,0.5,500.0,1.0704200000000001,500.0,0.0,5.0,5.3521,0.102925,0.35,0.0,False,5eac195b2a4c,True,104,first_violation_only,0.8808,5.3521,flat_small,0,0.0,sports_championship_conference_progression,nesting,52,0.55
83,forward_fill_max_age,0.054072168674698794,60,exploratory_only_not_credible,0,3,0.5,100.0,0.897598,100.0,0.0,25.0,4.48799,0.054072168674698794,0.7,0.0,False,b10d70d6cf57,True,166,reenter_after_cooldown,0.8808,4.488,flat_small,50,20.75,sports_championship_conference_progression,nesting,83,0.55
83,forward_fill_max_age,0.061258975903614454,0,exploratory_only_not_credible,0,3,0.5,500.0,1.016899,500.0,0.0,5.0,5.0844949999999995,0.061258975903614454,0.35,0.01,False,c9b8bdee1862,True,166,reenter_after_cooldown,0.8808,5.0845,flat_small,0,0.0,sports_championship_conference_progression,nesting,83,0.55
52,forward_fill_max_age,0.0863075,0,exploratory_only_not_credible,0,3,0.5,500.0,0.897598,500.0,0.0,25.0,4.48799,0.0863075,0.7,0.01,False,10337c458a6f,True,104,first_violation_only,0.8808,4.488,flat_small,0,0.0,sports_championship_conference_progression,nesting,52,0.55
83,forward_fill_max_age,0.061258975903614454,60,exploratory_only_not_credible,0,3,0.5,100.0,1.016899,100.0,0.0,25.0,5.0844949999999995,0.061258975903614454,0.35,0.0,False,cda767abc4e9,True,166,reenter_after_cooldown,0.8808,5.0845,flat_small,50,20.75,sports_championship_conference_progression,nesting,83,0.55
52,forward_fill_max_age,0.08199212499999999,0,exploratory_only_not_credible,0,3,0.5,100.0,0.8527180999999999,100.0,0.0,25.0,4.263590499999999,0.08199212499999999,0.7,0.01,False,90ec1e9da866,True,104,first_violation_only,0.8808,4.2636,flat_small,50,13.0,sports_championship_conference_progression,nesting,52,0.55
52,forward_fill_max_age,0.08199212499999999,60,exploratory_only_not_credible,0,3,0.5,500.0,0.8527180999999999,500.0,0.0,25.0,4.263590499999999,0.08199212499999999,0.7,0.01,False,61060db0ab2e,True,104,first_violation_only,0.8808,4.2636,flat_small,50,13.0,sports_championship_conference_progression,nesting,52,0.55
83,forward_fill_max_age,0.054072168674698794,60,exploratory_only_not_credible,0,3,0.5,100.0,0.897598,100.0,0.0,25.0,4.48799,0.054072168674698794,0.7,0.01,False,15323622aa9c,True,166,reenter_after_cooldown,0.8808,4.488,flat_small,0,0.0,sports_championship_conference_progression,nesting,83,0.55
52,forward_fill_max_age,0.09777875,0,exploratory_only_not_credible,0,3,0.5,500.0,1.016899,500.0,0.0,5.0,5.0844949999999995,0.09777875,0.35,0.01,False,93e87783f3f2,True,104,first_violation_only,0.8808,5.0845,flat_small,0,0.0,sports_championship_conference_progression,nesting,52,0.55
83,forward_fill_max_age,0.061258975903614454,0,exploratory_only_not_credible,0,3,0.5,500.0,1.016899,500.0,0.0,25.0,5.0844949999999995,0.061258975903614454,0.35,0.0,False,1c306eb6ea4a,True,166,reenter_after_cooldown,0.8808,5.0845,flat_small,50,20.75,sports_championship_conference_progression,nesting,83,0.55
52,forward_fill_max_age,0.0863075,60,exploratory_only_not_credible,0,3,0.5,100.0,0.897598,100.0,0.0,5.0,4.48799,0.0863075,0.7,0.0,False,77c7128b5423,True,104,first_violation_only,0.8808,4.488,flat_small,50,2.6,sports_championship_conference_progression,nesting,52,0.55
83,forward_fill_max_age,0.05691807228915662,0,exploratory_only_not_credible,0,3,0.5,500.0,0.94484,500.0,0.0,5.0,4.7242,0.05691807228915662,0.7,0.0,False,ab27355e4c0e,True,166,reenter_after_cooldown,0.8808,4.7242,flat_small,0,0.0,sports_championship_conference_progression,nesting,83,0.55
83,forward_fill_max_age,0.061258975903614454,0,exploratory_only_not_credible,0,3,0.5,100.0,1.016899,100.0,0.0,25.0,5.0844949999999995,0.061258975903614454,0.35,0.0,False,6d0d7bad3ebd,True,166,reenter_after_cooldown,0.8808,5.0845,flat_small,50,20.75,sports_championship_conference_progression,nesting,83,0.55
83,forward_fill_max_age,0.05136856024096385,0,exploratory_only_not_credible,0,3,0.5,100.0,0.8527180999999999,100.0,0.0,5.0,4.263590499999999,0.05136856024096385,0.7,0.01,False,2ebced71aba5,True,166,reenter_after_cooldown,0.8808,4.2636,flat_small,50,4.15,sports_championship_conference_progression,nesting,83,0.55
52,forward_fill_max_age,0.0863075,0,exploratory_only_not_credible,0,3,0.5,500.0,0.897598,500.0,0.0,5.0,4.48799,0.0863075,0.7,0.01,False,4339babf4ed1,True,104,first_violation_only,0.8808,4.488,flat_small,0,0.0,sports_championship_conference_progression,nesting,52,0.55
83,forward_fill_max_age,0.061258975903614454,0,exploratory_only_not_credible,0,3,0.5,100.0,1.016899,100.0,0.0,5.0,5.0844949999999995,0.061258975903614454,0.35,0.0,False,a590862284dc,True,166,reenter_after_cooldown,0.8808,5.0845,flat_small,50,4.15,sports_championship_conference_progression,nesting,83,0.55
83,forward_fill_max_age,0.05136856024096385,0,exploratory_only_not_credible,0,3,0.5,500.0,0.8527180999999999,500.0,0.0,5.0,4.263590499999999,0.05136856024096385,0.7,0.01,False,11aa353df4e1,True,166,reenter_after_cooldown,0.8808,4.2636,flat_small,50,4.15,sports_championship_conference_progression,nesting,83,0.55
83,forward_fill_max_age,0.06448313253012049,60,exploratory_only_not_credible,0,3,0.5,100.0,1.0704200000000001,100.0,0.0,25.0,5.3521,0.06448313253012049,0.35,0.0,False,268b84c9b5f7,True,166,reenter_after_cooldown,0.8808,5.3521,flat_small,0,0.0,sports_championship_conference_progression,nesting,83,0.55
83,forward_fill_max_age,0.054072168674698794,0,exploratory_only_not_credible,0,3,0.5,100.0,0.897598,100.0,0.0,5.0,4.48799,0.054072168674698794,0.7,0.0,False,044dbd9ad54a,True,166,reenter_after_cooldown,0.8808,4.488,flat_small,50,4.15,sports_championship_conference_progression,nesting,83,0.55
52,forward_fill_max_age,0.102925,60,exploratory_only_not_credible,0,3,0.5,100.0,1.0704200000000001,100.0,0.0,5.0,5.3521,0.102925,0.35,0.0,False,61947468c925,True,104,first_violation_only,0.8808,5.3521,flat_small,0,0.0,sports_championship_conference_progression,nesting,52,0.55
83,forward_fill_max_age,0.06448313253012049,60,exploratory_only_not_credible,0,3,0.5,500.0,1.0704200000000001,500.0,0.0,5.0,5.3521,0.06448313253012049,0.35,0.0,False,a19f70b30f96,True,166,reenter_after_cooldown,0.8808,5.3521,flat_small,0,0.0,sports_championship_conference_progression,nesting,83,0.55
83,forward_fill_max_age,0.05136856024096385,60,exploratory_only_not_credible,0,3,0.5,100.0,0.8527180999999999,100.0,0.0,25.0,4.263590499999999,0.05136856024096385,0.7,0.01,False,b76c308cabaf,True,166,reenter_after_cooldown,0.8808,4.2636,flat_small,50,20.75,sports_championship_conference_progression,nesting,83,0.55
52,forward_fill_max_age,0.102925,0,exploratory_only_not_credible,0,3,0.5,100.0,1.0704200000000001,100.0,0.0,5.0,5.3521,0.102925,0.35,0.0,False,f06e94586a28,True,104,first_violation_only,0.8808,5.3521,flat_small,0,0.0,sports_championship_conference_progression,nesting,52,0.55
83,forward_fill_max_age,0.054072168674698794,60,exploratory_only_not_credible,0,3,0.5,500.0,0.897598,500.0,0.0,25.0,4.48799,0.054072168674698794,0.7,0.01,False,81738b7e6f22,True,166,reenter_after_cooldown,0.8808,4.488,flat_small,0,0.0,sports_championship_conference_progression,nesting,83,0.55
52,forward_fill_max_age,0.0863075,0,exploratory_only_not_credible,0,3,0.5,500.0,0.897598,500.0,0.0,25.0,4.48799,0.0863075,0.7,0.0,False,100aea594df6,True,104,first_violation_only,0.8808,4.488,flat_small,50,13.0,sports_championship_conference_progression,nesting,52,0.55
83,forward_fill_max_age,0.05691807228915662,60,exploratory_only_not_credible,0,3,0.5,500.0,0.94484,500.0,0.0,25.0,4.7242,0.05691807228915662,0.7,0.0,False,3f7d690ba12a,True,166,reenter_after_cooldown,0.8808,4.7242,flat_small,0,0.0,sports_championship_conference_progression,nesting,83,0.55
52,forward_fill_max_age,0.09777875,60,exploratory_only_not_credible,0,3,0.5,500.0,1.016899,500.0,0.0,5.0,5.0844949999999995,0.09777875,0.35,0.01,False,b8020aa9bcac,True,104,first_violation_only,0.8808,5.0845,flat_small,0,0.0,sports_championship_conference_progression,nesting,52,0.55
